dataset,arch,run,seed,test_loss,test_acc,attack_auc,attack_ap,attack_f1
proteins,gat,9,516500,0.5485690236091614,0.8248175182481752,0.5664819944598338,0.5413041201759402,0.7169811320750117
proteins,graphsage,0,590438,0.63335120677948,0.7043795620437956,0.45844875346260383,0.49384411634865355,0.6666666666662222
proteins,graphsage,1,590439,0.5502007603645325,0.8248175182481752,0.4958448753462604,0.5202372739232716,0.6785714285709801
proteins,graphsage,2,590440,0.678977370262146,0.5985401459854015,0.45429362880886426,0.4847823284275896,0.6666666666662222
proteins,graphsage,3,590441,0.6793275475502014,0.6605839416058394,0.46675900277008314,0.5010310173468069,0.6666666666662222
proteins,graphsage,4,590442,0.5177019834518433,0.8248175182481752,0.407202216066482,0.4665377568222835,0.6785714285709801
proteins,graphsage,5,590443,0.5181682109832764,0.8248175182481752,0.43767313019390586,0.4808484595829797,0.6666666666662222
proteins,graphsage,6,590444,0.5752214789390564,0.8357664233576643,0.4376731301939058,0.47120954686744165,0.6666666666662222
proteins,graphsage,7,590445,0.509068489074707,0.8248175182481752,0.4487534626038781,0.4876488272074011,0.6666666666662222
proteins,graphsage,8,590446,0.702593207359314,0.4781021897810219,0.41135734072022156,0.4605572988993508,0.6666666666662222
proteins,graphsage,9,590447,0.6246432662010193,0.8248175182481752,0.43767313019390586,0.47263993316624897,0.6666666666662222
mutag,gcn,0,291369,0.6340741515159607,0.6488095238095238,0.72,0.6361904761904762,0.8333333333328471
mutag,gcn,1,291370,0.6445749998092651,0.6488095238095238,0.72,0.6583333333333333,0.7692307692302958
mutag,gcn,2,291371,0.6153420209884644,0.6488095238095238,0.76,0.6761904761904761,0.8333333333328471
mutag,gcn,3,291372,0.6020128130912781,0.6726190476190477,0.8400000000000001,0.7828571428571429,0.8333333333328471
mutag,gcn,4,291373,0.650286853313446,0.6488095238095238,0.8,0.8311111111111111,0.7999999999995001
mutag,gcn,5,291374,0.6398926377296448,0.6488095238095238,0.76,0.7511111111111112,0.7999999999995001
mutag,gcn,6,291375,0.6100717782974243,0.6607142857142857,0.76,0.7161904761904763,0.8333333333328471
mutag,gcn,7,291376,0.6009039282798767,0.6607142857142857,0.72,0.6361904761904762,0.8333333333328471
mutag,gcn,8,291377,0.6130955815315247,0.6488095238095238,0.74,0.6628571428571428,0.8333333333328471
mutag,gcn,9,291378,0.6095969080924988,0.6607142857142857,0.74,0.6628571428571428,0.8333333333328471
mutag,gat,0,108811,0.6171451210975647,0.6488095238095238,0.6,0.5828571428571427,0.8333333333328471
mutag,gat,1,108812,0.6310917735099792,0.6488095238095238,0.76,0.6761904761904761,0.8333333333328471
mutag,gat,2,108813,0.625653862953186,0.6488095238095238,0.76,0.6761904761904761,0.8333333333328471
mutag,gat,3,108814,0.6251403093338013,0.6488095238095238,0.76,0.6761904761904761,0.8333333333328471
mutag,gat,4,108815,0.631322979927063,0.6488095238095238,0.76,0.7295238095238095,0.8333333333328471
mutag,gat,5,108816,0.6295555830001831,0.6488095238095238,0.8200000000000001,0.7528571428571429,0.8333333333328471
mutag,gat,6,108817,0.622913658618927,0.6488095238095238,0.8,0.7295238095238095,0.8333333333328471
mutag,gat,7,108818,0.6148794889450073,0.6488095238095238,0.8400000000000001,0.7828571428571429,0.8333333333328471
mutag,gat,8,108819,0.626891016960144,0.6488095238095238,0.64,0.6095238095238095,0.8333333333328471
mutag,gat,9,108820,0.6258324384689331,0.6488095238095238,0.6799999999999999,0.6095238095238096,0.8333333333328471
mutag,graphsage,0,652647,0.5937618613243103,0.6845238095238095,0.76,0.6761904761904761,0.8333333333328471
mutag,graphsage,1,652648,0.5647887587547302,0.7083333333333334,0.8,0.7650000000000001,0.7999999999995001
mutag,graphsage,2,652649,0.6051742434501648,0.6726190476190477,0.76,0.7083333333333333,0.7692307692302958
mutag,graphsage,3,652650,0.6346397399902344,0.6488095238095238,0.72,0.6944444444444444,0.7272727272722312
mutag,graphsage,4,652651,0.6187565922737122,0.6666666666666666,0.56,0.5533333333333332,0.7272727272722312
mutag,graphsage,5,652652,0.5964642763137817,0.6845238095238095,0.64,0.5916666666666666,0.7692307692302958
mutag,graphsage,6,652653,0.5940192341804504,0.6845238095238095,0.8,0.7650000000000001,0.7999999999995001
mutag,graphsage,7,652654,0.6110930442810059,0.6785714285714286,0.8400000000000001,0.9111111111111111,0.888888888888395
mutag,graphsage,8,652655,0.601740837097168,0.6785714285714286,0.64,0.5916666666666666,0.7692307692302958
mutag,graphsage,9,652656,0.6230122447013855,0.6607142857142857,0.6000000000000001,0.5644444444444445,0.7272727272722312
molhiv,gcn,0,305257,0.5752429366111755,0.8050847457627118,0.665,0.7055344655344655,0.7692307692302958
molhiv,gcn,1,305258,1.1065295934677124,0.8135593220338984,0.65,0.699318043068043,0.7142857142852551
molhiv,gcn,2,305259,0.782332181930542,0.8135593220338984,0.6,0.7005727554179566,0.6896551724133413
molhiv,gcn,3,305260,0.5928488969802856,0.8135593220338984,0.73,0.7587098930481284,0.7407407407402743
molhiv,gcn,4,305261,0.5288165807723999,0.8135593220338984,0.65,0.6904630010512363,0.7407407407402743
