dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
proteins,gcn,8,206279,logit_noise,2.0,0.6984477639198303,0.40145985401459855,0.4761904761904762,0.5310077363816571,0.6666666666662222
proteins,gcn,9,206280,logit_noise,2.0,0.62837815284729,0.8248175182481752,0.528344671201814,0.5674734720701964,0.6666666666662222
proteins,gat,0,928958,logit_noise,2.0,0.5360447764396667,0.8248175182481752,0.5464852607709749,0.5681442662535099,0.6666666666662222
proteins,gat,1,928959,logit_noise,2.0,0.5393195152282715,0.8248175182481752,0.3956916099773242,0.44374446580314464,0.6666666666662222
proteins,gat,2,928960,logit_noise,2.0,0.5270765423774719,0.8248175182481752,0.626984126984127,0.6139841795303981,0.6666666666662222
proteins,gat,3,928961,logit_noise,2.0,0.5162656903266907,0.8248175182481752,0.5102040816326531,0.6002790859933718,0.6666666666662222
proteins,gat,4,928962,logit_noise,2.0,0.5321671962738037,0.8248175182481752,0.6099773242630386,0.5472608891392423,0.6818181818176828
proteins,gat,5,928963,logit_noise,2.0,0.5507102012634277,0.8248175182481752,0.45578231292517013,0.4583608142422537,0.6666666666662222
proteins,gat,6,928964,logit_noise,2.0,0.543700098991394,0.8248175182481752,0.6700680272108843,0.7135907168515865,0.6666666666662222
proteins,gat,7,928965,logit_noise,2.0,0.5392395257949829,0.8248175182481752,0.5,0.5214698452480406,0.6666666666662222
proteins,gat,8,928966,logit_noise,2.0,0.537658154964447,0.8248175182481752,0.7324263038548753,0.7319617178312832,0.7555555555550578
proteins,gat,9,928967,logit_noise,2.0,0.5247604846954346,0.8248175182481752,0.4739229024943311,0.49809212197535946,0.6666666666662222
proteins,graphsage,0,239448,logit_noise,2.0,0.6735041737556458,0.7627737226277372,0.48752834467120176,0.5736324556813279,0.6666666666662222
proteins,graphsage,1,239449,logit_noise,2.0,0.5295023918151855,0.8248175182481752,0.5963718820861678,0.6154450669156551,0.6666666666662222
proteins,graphsage,2,239450,logit_noise,2.0,0.5441412925720215,0.8248175182481752,0.5351473922902494,0.5941805813234384,0.6666666666662222
proteins,graphsage,3,239451,logit_noise,2.0,0.7287487983703613,0.4562043795620438,0.43083900226757366,0.4747931847613116,0.6666666666662222
proteins,graphsage,4,239452,logit_noise,2.0,0.6230558156967163,0.8248175182481752,0.4943310657596372,0.5576447198926191,0.6666666666662222
proteins,graphsage,5,239453,logit_noise,2.0,0.5288674831390381,0.8248175182481752,0.3832199546485261,0.5196163577420427,0.6666666666662222
proteins,graphsage,6,239454,logit_noise,2.0,0.5575137734413147,0.8248175182481752,0.4308390022675737,0.5040019995238925,0.6666666666662222
proteins,graphsage,7,239455,logit_noise,2.0,0.6867803931236267,0.5218978102189781,0.585034013605442,0.5453890647167958,0.6666666666662222
proteins,graphsage,8,239456,logit_noise,2.0,0.70478355884552,0.4781021897810219,0.3900226757369614,0.45591227944169127,0.6666666666662222
proteins,graphsage,9,239457,logit_noise,2.0,0.5934475660324097,0.8248175182481752,0.4920634920634921,0.540751047893905,0.6666666666662222
