dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
molhiv,gat,6,428328,logit_noise,0.5,0.5422683358192444,0.8135593220338984,0.6400000000000001,0.651314935064935,0.7272727272722312
molhiv,gat,7,428329,logit_noise,0.5,0.5631920099258423,0.8135593220338984,0.66,0.643172704488494,0.71999999999952
molhiv,gat,8,428330,logit_noise,0.5,0.6788926720619202,0.8135593220338984,0.71,0.6290576090576091,0.8333333333328471
molhiv,gat,9,428331,logit_noise,0.5,0.6747966408729553,0.8135593220338984,0.8500000000000001,0.811024531024531,0.9090909090904131
molhiv,graphsage,0,397426,logit_noise,0.5,0.7476654052734375,0.8135593220338984,0.53,0.5072380315762669,0.7407407407402743
molhiv,graphsage,1,397427,logit_noise,0.5,0.9256856441497803,0.8135593220338984,0.64,0.6980772005772006,0.7692307692302958
molhiv,graphsage,2,397428,logit_noise,0.5,0.7369323372840881,0.8135593220338984,0.44999999999999996,0.5286672151378033,0.6666666666662222
molhiv,graphsage,3,397429,logit_noise,0.5,1.4111403226852417,0.8135593220338984,0.46,0.5417411754911755,0.6923076923072189
molhiv,graphsage,4,397430,logit_noise,0.5,0.558025062084198,0.8135593220338984,0.49,0.5122149122807018,0.6923076923072189
molhiv,graphsage,5,397431,logit_noise,0.5,1.0860730409622192,0.8135593220338984,0.5900000000000001,0.5769730707888603,0.695652173912552
molhiv,graphsage,6,397432,logit_noise,0.5,0.843085527420044,0.8135593220338984,0.35,0.4643723893065998,0.6666666666662222
molhiv,graphsage,7,397433,logit_noise,0.5,0.8561644554138184,0.8135593220338984,0.62,0.6233367071524967,0.695652173912552
molhiv,graphsage,8,397434,logit_noise,0.5,0.9821110367774963,0.809322033898305,0.41000000000000003,0.5052960030165913,0.6666666666662222
molhiv,graphsage,9,397435,logit_noise,0.5,0.6843515038490295,0.8135593220338984,0.43000000000000005,0.5348965362123257,0.6896551724133413
proteins,gcn,0,176934,logit_noise,0.5,0.564349353313446,0.8248175182481752,0.4362244897959184,0.5347222222222222,0.6666666666662222
proteins,gcn,1,176935,logit_noise,0.5,0.6895707249641418,0.5693430656934306,0.5306122448979592,0.5301587301587302,0.6666666666662222
proteins,gcn,2,176936,logit_noise,0.5,0.7104865312576294,0.4306569343065693,0.49489795918367346,0.49867672010529157,0.6666666666662222
proteins,gcn,3,176937,logit_noise,0.5,0.6867649555206299,0.5583941605839416,0.5714285714285715,0.5321567263268945,0.6666666666662222
proteins,gcn,4,176938,logit_noise,0.5,0.6587511301040649,0.8248175182481752,0.20663265306122452,0.4087029042386185,0.6666666666662222
proteins,gcn,5,176939,logit_noise,0.5,0.565152108669281,0.8248175182481752,0.4030612244897959,0.4737593755450898,0.6666666666662222
proteins,gcn,6,176940,logit_noise,0.5,0.6870951652526855,0.6094890510948905,0.5612244897959184,0.5488184434613006,0.6666666666662222
proteins,gcn,7,176941,logit_noise,0.5,0.692795991897583,0.5109489051094891,0.5867346938775511,0.6391581632653061,0.6666666666662222
proteins,gcn,8,176942,logit_noise,0.5,0.4898349642753601,0.8248175182481752,0.34183673469387754,0.47797619047619044,0.6666666666662222
proteins,gcn,9,176943,logit_noise,0.5,0.6720948815345764,0.7773722627737226,0.42346938775510207,0.4743197278911565,0.6666666666662222
proteins,gat,0,49148,logit_noise,0.5,0.5742331743240356,0.8248175182481752,0.9336734693877552,0.9425354251012146,0.8666666666661688
proteins,gat,1,49149,logit_noise,0.5,0.5684115290641785,0.8248175182481752,0.8928571428571429,0.9083764274940744,0.8387096774188595
proteins,gat,2,49150,logit_noise,0.5,0.5204424262046814,0.8248175182481752,0.6785714285714286,0.7598014510914968,0.7027027027022321
proteins,gat,3,49151,logit_noise,0.5,0.5309181213378906,0.8248175182481752,0.826530612244898,0.8576123806165823,0.7857142857137857
proteins,gat,4,49152,logit_noise,0.5,0.5145782828330994,0.8248175182481752,0.8061224489795918,0.8367977494027913,0.7777777777773025
proteins,gat,5,49153,logit_noise,0.5,0.5405161380767822,0.8248175182481752,0.826530612244898,0.8302460019095357,0.79999999999952
proteins,gat,6,49154,logit_noise,0.5,0.5531513094902039,0.8248175182481752,0.8214285714285715,0.8711246867167919,0.7826086956516976
proteins,gat,7,49155,logit_noise,0.5,0.5772697925567627,0.8248175182481752,0.7346938775510204,0.8010783800699766,0.7428571428566629
proteins,gat,8,49156,logit_noise,0.5,0.5502511262893677,0.8248175182481752,0.6479591836734694,0.7288581604277092,0.7179487179482578
proteins,gat,9,49157,logit_noise,0.5,0.5042397379875183,0.8248175182481752,0.6428571428571428,0.6938036091015966,0.7272727272722388
proteins,graphsage,0,504501,logit_noise,0.5,0.7493413686752319,0.33211678832116787,0.6581632653061225,0.7240259740259739,0.6666666666662222
proteins,graphsage,1,504502,logit_noise,0.5,0.5949292182922363,0.8248175182481752,0.4897959183673469,0.5675354057706998,0.6666666666662222
proteins,graphsage,2,504503,logit_noise,0.5,0.6529437899589539,0.8175182481751825,0.5765306122448979,0.6389069264069265,0.6666666666662222
proteins,graphsage,3,504504,logit_noise,0.5,0.6501970291137695,0.8248175182481752,0.596938775510204,0.5527391259534118,0.6857142857138057
proteins,graphsage,4,504505,logit_noise,0.5,0.4750528931617737,0.8248175182481752,0.6683673469387754,0.7234126984126984,0.6666666666662222
proteins,graphsage,5,504506,logit_noise,0.5,0.7365520000457764,0.4635036496350365,0.46173469387755106,0.4723094365951509,0.6666666666662222
proteins,graphsage,6,504507,logit_noise,0.5,0.6341636180877686,0.583941605839416,0.5612244897959184,0.667687074829932,0.6666666666662222
proteins,graphsage,7,504508,logit_noise,0.5,0.5043535232543945,0.8248175182481752,0.5714285714285714,0.6023423005565862,0.6666666666662222
proteins,graphsage,8,504509,logit_noise,0.5,0.49184930324554443,0.8248175182481752,0.4693877551020408,0.5452380952380952,0.6666666666662222
proteins,graphsage,9,504510,logit_noise,0.5,0.6774449348449707,0.6897810218978102,0.6122448979591837,0.6719605791034362,0.6666666666662222
